p_complete,age_sex,date,year,geometry,area,length,width
N,male,20160125,2016,"list(c(1837394.93681422, 1837395.395737, 1837395.45831738, 1837395.45831738, 1837394.76993322, 1837394.22756994, 1837393.78950729, 1837393.35144464, 1837393.10112312, 1837393.01768262, 1837392.97596237, 1837392.93424212, 1837392.97596237, 1837393.18456363, 1837393.43488514, 1837393.89380792, 1837394.49875158, 1837394.66563259, 1837394.93681422, 569723.315399315, 569723.294538866, 569723.231957513, 569723.169376161, 569722.397539485, 569722.022051374, 569721.813446868, 569721.688284163, 569721.521400558, 
569721.521400558, 569721.563121462, 569721.834307319, 569721.980330472, 569722.293237233, 569722.543562641, 569722.8981903, 569723.127655258, 569723.252817963, 569723.315399315))",1.9603581014911273,3.048124211489294,0.9264124637605174
N,male,20160125,2016,"list(c(1837379.5415539, 1837381.0470197, 1837381.10655059, 1837381.21085122, 1837381.21085122, 1837381.08569046, 1837381.02311009, 1837380.98138983, 1837380.85622908, 1837380.77278857, 1837380.64762782, 1837380.18870504, 1837379.81322277, 1837378.91623735, 1837378.5616152, 1837378.5616152, 1837378.49903482, 1837378.51989495, 1837379.06225823, 1837379.45860063, 1837379.58376138, 1837379.5415539, 569786.692706927, 569786.683470941, 569786.668587988, 569786.585146186, 569786.459983481, 569786.209658074, 
569785.959332665, 569785.917611764, 569785.917611764, 569785.959332665, 569785.959332664, 569785.709007256, 569785.625565453, 569785.604705002, 569785.709007258, 569785.855030414, 569785.917611764, 569786.021914017, 569786.272239426, 569786.501704383, 569786.668587988, 569786.692706927))",2.069500435291743,2.876606297052549,1.112553011659375
NA,male,20160125,2016,"list(c(1837380.20956517, 1837380.43902655, 1837380.52246706, 1837380.52246706, 1837380.3138658, 1837380.10526454, 1837379.85494302, 1837379.47946075, 1837379.22913924, 1837378.58247533, 1837378.1652728, 1837377.45602852, 1837377.31945072, 1837377.24856422, 1837377.17123349, 1837377.10679121, 1837376.98435089, 1837376.94568553, 1837377.0101278, 1837377.08745853, 1837377.33086776, 1837377.5514429, 1837377.78979053, 1837378.15720028, 1837378.26957343, 1837378.45731457, 1837379.18741899, 1837379.79236265, 
1837380.20956517, 569832.269533145, 569832.269533143, 569832.186091342, 569832.040068186, 569831.643719623, 569831.351673311, 569831.122208359, 569830.934464302, 569830.851022498, 569830.788441146, 569830.871882947, 569831.226510612, 569831.345937537, 569831.429712493, 569831.48771054, 569831.429712493, 569831.481266312, 569831.558597041, 569831.700370044, 569831.842143047, 569831.894045032, 569831.925918003, 569831.935765934, 569831.919473775, 569831.873184582, 569831.83146368, 569831.852324129, 
569832.060928638, 569832.269533145))",3.0314241648620475,3.831065763547226,1.1519514033805938
NA,male,20160125,2016,"list(c(1837364.27242879, 1837364.39758955, 1837364.48103005, 1837365.07058549, 1837365.3988756, 1837365.56575661, 1837365.89951863, 1837366.06639964, 1837366.25414078, 1837366.48360216, 1837366.63653275, 1837366.7547838, 1837366.68164234, 1837366.46274204, 1837366.24343488, 1837365.69091737, 1837365.3988756, 1837364.87737245, 1837364.66877119, 1837364.4393098, 1837364.31414904, 1837364.23070854, 1837364.23070854, 1837364.27242879, 569863.873115903, 569863.873115903, 569863.831395, 569863.347970797, 
569863.184721031, 569863.122139678, 569862.830093371, 569862.725791117, 569862.538047059, 569862.412884357, 569862.355559778, 569862.183419399, 569862.014015726, 569861.891373092, 569861.840021586, 569861.870512636, 569862.016535793, 569862.433744806, 569862.55890751, 569862.934395623, 569863.330744183, 569863.768813648, 569863.831395004, 569863.873115903))",2.2513784845313025,3.076040861182498,1.03445227709773
NA,male,20160125,2016,"list(c(1837387.80265108, 1837387.99039222, 1837388.03211247, 1837388.03211247, 1837388.19899348, 1837388.32415424, 1837388.32415424, 1837388.38673462, 1837388.58557127, 1837388.69963651, 1837388.82400768, 1837388.94000377, 1837389.0959789, 1837389.18488442, 1837389.14783011, 1837389.0959789, 1837388.99639076, 1837388.86651752, 1837388.47017512, 1837388.21985361, 1837387.59404982, 1837387.42716881, 1837387.30200806, 1837387.28114793, 1837387.42716881, 1837387.50294106, 1837387.71921058, 1837387.80265108, 
569869.568018936, 569869.48457713, 569869.401135329, 569869.213391275, 569868.837903161, 569868.295531444, 569867.711438825, 569867.58627612, 569867.336947557, 569867.189927558, 569867.117843825, 569867.001847732, 569866.626695391, 569866.152820772, 569866.088378498, 569866.063463223, 569866.006214599, 569866.021742321, 569866.313788631, 569866.438951337, 569867.085625304, 569867.377671613, 569867.794880629, 569868.358112796, 569868.87962406, 569869.192885047, 569869.526298031, 569869.568018936))",3.1340653706987376,3.8870382949530518,1.1142990923854452
NA,female,20160125,2016,"list(c(1837364.20984841, 1837364.62705094, 1837365.23199459, 1837365.50317624, 1837365.7117775, 1837365.77435787, 1837365.77435787, 1837365.64919712, 1837365.12769396, 1837364.68963131, 1837363.66748513, 1837363.5631845, 1837363.43802375, 1837363.43802375, 1837363.62576488, 1837363.81350602, 1837363.98038703, 1837364.20984841, 569875.033457008, 569875.03345701, 569874.908294305, 569874.908294307, 569874.824852502, 569874.7414107, 569874.657968897, 569874.532806191, 569874.303341234, 569874.240759882, 
569874.240759885, 569874.199038981, 569874.240759883, 569874.449364389, 569874.720550248, 569874.908294305, 569874.991736107, 569875.033457008))",1.4399167547352156,2.449283278785852,0.8282939040702011
NA,male,20160125,2016,"list(c(1837380.56418731, 1837380.85622908, 1837381.69063412, 1837381.87837526, 1837382.52503917, 1837382.81708094, 1837383.1091227, 1837383.44288472, 1837383.56804548, 1837383.56804548, 1837383.52632522, 1837383.31772396, 1837382.77536068, 1837382.58761955, 1837381.94095564, 1837381.60719362, 1837381.44031261, 1837381.2734316, 1837380.91880946, 1837380.58504744, 1837380.50160693, 1837380.50160693, 1837380.56418731, 569888.780493997, 569888.738773097, 569888.321564083, 569888.258982731, 569887.883494619, 
569887.612308761, 569887.111657943, 569886.777890736, 569886.694448931, 569886.590146677, 569886.548425776, 569886.506704874, 569886.506704876, 569886.548425776, 569886.798751185, 569887.049076593, 569887.257681098, 569887.361983353, 569887.737471463, 569888.363284984, 569888.655331294, 569888.717912647, 569888.780493997))",3.0682541612682566,3.7226116870846746,1.207797645446358
NA,male,20160125,2016,"list(c(1837358.45693145, 1837358.45006701, 1837358.43913354, 1837358.43913354, 1837358.43913354, 1837358.43913354, 1837358.42273335, 1837358.43913354, 1837358.47193394, 1837358.47740067, 1837358.49417385, 1837358.66105486, 1837358.78621561, 1837359.34943902, 1837359.41767861, 1837359.4750793, 1837359.45321237, 1837359.38214485, 1837359.29467714, 1837359.26060469, 1837358.89051625, 1837358.38987322, 1837358.22299221, 1837357.95181057, 1837357.72234918, 1837357.61804855, 1837357.59718843, 1837357.70148906, 
1837357.76406943, 1837357.99353082, 1837358.26471246, 1837358.34815297, 1837358.4524536, 1837358.45693145, 569908.597922131, 569908.563599892, 569908.465198712, 569908.377730996, 569908.312130209, 569908.257462887, 569908.164528439, 569908.066127259, 569907.962259346, 569907.852924702, 569907.763504102, 569907.200271934, 569906.908225626, 569906.324133008, 569906.251172157, 569906.152770976, 569906.130904048, 569906.106303752, 569906.078970091, 569906.0738076, 569906.0738076, 569906.198970303, 569906.282412106, 
569906.511877065, 569906.866504727, 569907.200271936, 569907.388015994, 569907.721783204, 569908.076410863, 569908.451898975, 569908.660503485, 569908.660503483, 569908.597922131, 569908.597922131))",2.2605566296546646,3.2493773072503056,1.0674453295869855
N,male,20160125,2016,"list(c(1837376.62162347, 1837376.70506397, 1837376.74678423, 1837376.76764435, 1837376.37130196, 1837374.82765262, 1837374.53561086, 1837374.53561086, 1837374.57733111, 1837374.78593237, 1837375.07797414, 1837375.64119754, 1837375.8497988, 1837376.10012032, 1837376.62162347, 569909.766107368, 569909.745246917, 569909.661805114, 569909.077712497, 569908.660503485, 569907.930387709, 569907.930387709, 569908.118131766, 569908.243294469, 569908.597922131, 569908.910828892, 569909.369758803, 569909.49492151, 
569909.620084213, 569909.766107368))",1.9953878084531744,2.977744681475458,1.0123900075623542
NA,male,20160125,2016,"list(c(1837358.5358941, 1837358.61933461, 1837358.74449536, 1837359.14083776, 1837359.28685864, 1837359.8083618, 1837360.22556432, 1837360.39244533, 1837360.51760609, 1837360.6844871, 1837360.6844871, 1837360.55932634, 1837360.30900483, 1837359.87094218, 1837359.64148079, 1837359.28685864, 1837358.95309663, 1837358.80707574, 1837358.57761435, 1837358.55675423, 1837358.4992676, 1837358.48833413, 1837358.5358941, 569929.145466036, 569929.145466036, 569929.082884683, 569928.749117474, 569928.665675673, 
569928.206745757, 569927.977280798, 569927.831257645, 569927.768676293, 569927.580932235, 569927.37232773, 569927.309746378, 569927.309746378, 569927.372327731, 569927.455769532, 569927.518350884, 569927.768676294, 569927.977280801, 569928.477931614, 569928.686536122, 569928.877976877, 569929.025578648, 569929.145466036))",1.801657240196613,2.8927062019762686,0.9082320048851653
