p_complete,age_sex,date,year,area,length,width,density,geometry
NA,male,20160125,2016,3.031424164862047,3.831065763547226,1.151951403380594,0,"list(list(c(1837380.20956517, 1837380.43902655, 1837380.52246706, 1837380.52246706, 1837380.3138658, 1837380.10526454, 1837379.85494302, 1837379.47946075, 1837379.22913924, 1837378.58247533, 1837378.1652728, 1837377.45602852, 1837377.31945072, 1837377.24856422, 1837377.17123349, 1837377.10679121, 1837376.98435089, 1837376.94568553, 1837377.0101278, 1837377.08745853, 1837377.33086776, 1837377.5514429, 1837377.78979053, 1837378.15720028, 1837378.26957343, 1837378.45731457, 1837379.18741899, 1837379.79236265, 
1837380.20956517, 569832.269533145, 569832.269533143, 569832.186091342, 569832.040068186, 569831.643719623, 569831.351673311, 569831.122208359, 569830.934464302, 569830.851022498, 569830.788441146, 569830.871882947, 569831.226510612, 569831.345937537, 569831.429712493, 569831.48771054, 569831.429712493, 569831.481266312, 569831.558597041, 569831.700370044, 569831.842143047, 569831.894045032, 569831.925918003, 569831.935765934, 569831.919473775, 569831.873184582, 569831.83146368, 569831.852324129, 
569832.060928638, 569832.269533145)))"
NA,male,20160125,2016,2.251378484531303,3.076040861182498,1.03445227709773,0,"list(list(c(1837364.27242879, 1837364.39758955, 1837364.48103005, 1837365.07058549, 1837365.3988756, 1837365.56575661, 1837365.89951863, 1837366.06639964, 1837366.25414078, 1837366.48360216, 1837366.63653275, 1837366.7547838, 1837366.68164234, 1837366.46274204, 1837366.24343488, 1837365.69091737, 1837365.3988756, 1837364.87737245, 1837364.66877119, 1837364.4393098, 1837364.31414904, 1837364.23070854, 1837364.23070854, 1837364.27242879, 569863.873115903, 569863.873115903, 569863.831395, 569863.347970797, 
569863.184721031, 569863.122139678, 569862.830093371, 569862.725791117, 569862.538047059, 569862.412884357, 569862.355559778, 569862.183419399, 569862.014015726, 569861.891373092, 569861.840021586, 569861.870512636, 569862.016535793, 569862.433744806, 569862.55890751, 569862.934395623, 569863.330744183, 569863.768813648, 569863.831395004, 569863.873115903)))"
NA,male,20160125,2016,3.134065370698738,3.887038294953052,1.114299092385445,0,"list(list(c(1837387.80265108, 1837387.99039222, 1837388.03211247, 1837388.03211247, 1837388.19899348, 1837388.32415424, 1837388.32415424, 1837388.38673462, 1837388.58557127, 1837388.69963651, 1837388.82400768, 1837388.94000377, 1837389.0959789, 1837389.18488442, 1837389.14783011, 1837389.0959789, 1837388.99639076, 1837388.86651752, 1837388.47017512, 1837388.21985361, 1837387.59404982, 1837387.42716881, 1837387.30200806, 1837387.28114793, 1837387.42716881, 1837387.50294106, 1837387.71921058, 1837387.80265108, 
569869.568018936, 569869.48457713, 569869.401135329, 569869.213391275, 569868.837903161, 569868.295531444, 569867.711438825, 569867.58627612, 569867.336947557, 569867.189927558, 569867.117843825, 569867.001847732, 569866.626695391, 569866.152820772, 569866.088378498, 569866.063463223, 569866.006214599, 569866.021742321, 569866.313788631, 569866.438951337, 569867.085625304, 569867.377671613, 569867.794880629, 569868.358112796, 569868.87962406, 569869.192885047, 569869.526298031, 569869.568018936)))"
NA,female,20160125,2016,1.439916754735216,2.449283278785852,0.828293904070201,0,"list(list(c(1837364.20984841, 1837364.62705094, 1837365.23199459, 1837365.50317624, 1837365.7117775, 1837365.77435787, 1837365.77435787, 1837365.64919712, 1837365.12769396, 1837364.68963131, 1837363.66748513, 1837363.5631845, 1837363.43802375, 1837363.43802375, 1837363.62576488, 1837363.81350602, 1837363.98038703, 1837364.20984841, 569875.033457008, 569875.03345701, 569874.908294305, 569874.908294307, 569874.824852502, 569874.7414107, 569874.657968897, 569874.532806191, 569874.303341234, 569874.240759882, 
569874.240759885, 569874.199038981, 569874.240759883, 569874.449364389, 569874.720550248, 569874.908294305, 569874.991736107, 569875.033457008)))"
NA,male,20160125,2016,3.068254161268257,3.722611687084675,1.207797645446358,0,"list(list(c(1837380.56418731, 1837380.85622908, 1837381.69063412, 1837381.87837526, 1837382.52503917, 1837382.81708094, 1837383.1091227, 1837383.44288472, 1837383.56804548, 1837383.56804548, 1837383.52632522, 1837383.31772396, 1837382.77536068, 1837382.58761955, 1837381.94095564, 1837381.60719362, 1837381.44031261, 1837381.2734316, 1837380.91880946, 1837380.58504744, 1837380.50160693, 1837380.50160693, 1837380.56418731, 569888.780493997, 569888.738773097, 569888.321564083, 569888.258982731, 569887.883494619, 
569887.612308761, 569887.111657943, 569886.777890736, 569886.694448931, 569886.590146677, 569886.548425776, 569886.506704874, 569886.506704876, 569886.548425776, 569886.798751185, 569887.049076593, 569887.257681098, 569887.361983353, 569887.737471463, 569888.363284984, 569888.655331294, 569888.717912647, 569888.780493997)))"
NA,male,20160125,2016,2.260556629654665,3.249377307250306,1.067445329586985,0,"list(list(c(1837358.45693145, 1837358.45006701, 1837358.43913354, 1837358.43913354, 1837358.43913354, 1837358.43913354, 1837358.42273335, 1837358.43913354, 1837358.47193394, 1837358.47740067, 1837358.49417385, 1837358.66105486, 1837358.78621561, 1837359.34943902, 1837359.41767861, 1837359.4750793, 1837359.45321237, 1837359.38214485, 1837359.29467714, 1837359.26060469, 1837358.89051625, 1837358.38987322, 1837358.22299221, 1837357.95181057, 1837357.72234918, 1837357.61804855, 1837357.59718843, 1837357.70148906, 
1837357.76406943, 1837357.99353082, 1837358.26471246, 1837358.34815297, 1837358.4524536, 1837358.45693145, 569908.597922131, 569908.563599892, 569908.465198712, 569908.377730996, 569908.312130209, 569908.257462887, 569908.164528439, 569908.066127259, 569907.962259346, 569907.852924702, 569907.763504102, 569907.200271934, 569906.908225626, 569906.324133008, 569906.251172157, 569906.152770976, 569906.130904048, 569906.106303752, 569906.078970091, 569906.0738076, 569906.0738076, 569906.198970303, 569906.282412106, 
569906.511877065, 569906.866504727, 569907.200271936, 569907.388015994, 569907.721783204, 569908.076410863, 569908.451898975, 569908.660503485, 569908.660503483, 569908.597922131, 569908.597922131)))"
NA,male,20160125,2016,1.801657240196613,2.892706201976269,0.908232004885165,0,"list(list(c(1837358.5358941, 1837358.61933461, 1837358.74449536, 1837359.14083776, 1837359.28685864, 1837359.8083618, 1837360.22556432, 1837360.39244533, 1837360.51760609, 1837360.6844871, 1837360.6844871, 1837360.55932634, 1837360.30900483, 1837359.87094218, 1837359.64148079, 1837359.28685864, 1837358.95309663, 1837358.80707574, 1837358.57761435, 1837358.55675423, 1837358.4992676, 1837358.48833413, 1837358.5358941, 569929.145466036, 569929.145466036, 569929.082884683, 569928.749117474, 569928.665675673, 
569928.206745757, 569927.977280798, 569927.831257645, 569927.768676293, 569927.580932235, 569927.37232773, 569927.309746378, 569927.309746378, 569927.372327731, 569927.455769532, 569927.518350884, 569927.768676294, 569927.977280801, 569928.477931614, 569928.686536122, 569928.877976877, 569929.025578648, 569929.145466036)))"
NA,male,20160125,2016,2.200377551313465,3.1517364571722992,1.034034040785562,0,"list(list(c(1837344.74735072, 1837345.16455324, 1837345.51917539, 1837345.93637791, 1837345.99895829, 1837346.10325892, 1837346.11985245, 1837346.07065186, 1837345.95723804, 1837345.16455324, 1837344.93509186, 1837344.68477034, 1837343.91294567, 1837343.41230265, 1837343.20370139, 1837343.14112101, 1837343.16198113, 1837343.22456151, 1837343.66262416, 1837343.99638618, 1837344.22584757, 1837344.39272858, 1837344.74735072, 569934.235416, 569934.193695095, 569934.068532394, 569933.734765182, 569933.630462929, 
569933.547021125, 569933.412631266, 569933.349763846, 569933.338416618, 569933.338416617, 569933.296695718, 569933.296695718, 569933.150672566, 569932.983788961, 569932.983788958, 569933.025509861, 569933.192393465, 569933.317556169, 569933.839067435, 569934.068532394, 569934.172834646, 569934.214555549, 569934.235416)))"
NA,male,20160125,2016,1.943251179329813,3.132442829995616,0.920710233389931,0,"list(list(c(1837312.99823873, 1837313.14912798, 1837313.2086393, 1837312.81049759, 1837312.60189633, 1837312.56017608, 1837312.35157482, 1837312.33071469, 1837312.05953305, 1837311.93437229, 1837311.87179192, 1837311.76749128, 1837311.72577103, 1837311.68405078, 1837311.72577103, 1837311.87179191, 1837312.16383368, 1837312.45199533, 1837312.64361658, 1837312.99823873, 569950.110218956, 569950.11565051, 569950.022132717, 569949.442684533, 569948.942033718, 569948.503964255, 569948.003313439, 569947.836429832, 
569947.46094172, 569947.335779015, 569947.314918569, 569947.419220821, 569947.544383524, 569948.337080648, 569948.712568763, 569949.296661379, 569949.693009943, 569949.911611687, 569949.9641958, 569950.110218956)))"
NA,male,20160125,2016,1.796964553179897,2.987617161860363,0.835261742908996,1,"list(list(c(1837301.29570796, 1837301.64643932, 1837301.87979149, 1837302.35957439, 1837302.67247629, 1837302.96451805, 1837303.15972726, 1837303.36086045, 1837303.64431947, 1837303.67832594, 1837303.81010101, 1837303.79522318, 1837303.76546752, 1837303.59330976, 1837303.23569969, 1837302.60989591, 1837302.35957439, 1837301.85893136, 1837301.33742821, 1837301.12882695, 1837300.98280607, 1837300.98280607, 1837301.02452632, 1837301.29570796, 569966.485672729, 569966.525897947, 569966.464812278, 569966.277068224, 
569966.110184616, 569966.026742815, 569965.964791183, 569965.90158011, 569965.684237802, 569965.58221839, 569965.435565486, 569965.371803353, 569965.339922287, 569965.335671479, 569965.317487489, 569965.317487491, 569965.380068845, 569965.651254702, 569966.026742814, 569966.089324165, 569966.193626419, 569966.318789122, 569966.360510025, 569966.485672729)))"
